,Dataset,Column,Algorithm,Comparisons,Runs,Inversions,Deletions,Dis,deletions_val_dist1,runs_val_dist1,deletions_comp_dist1,runs_comp_dist1,deletions_val_dist2,runs_val_dist2,deletions_comp_dist2,runs_comp_dist2,deletions_val_dist3,runs_val_dist3,deletions_comp_dist3,runs_comp_dist3,deletions_val_dist4,runs_val_dist4,deletions_comp_dist4,runs_comp_dist4,deletions_val_dist5,runs_val_dist5,deletions_comp_dist5,runs_comp_dist5,deletions_val_dist6,runs_val_dist6,deletions_comp_dist6,runs_comp_dist6,deletions_val_dist7,runs_val_dist7,deletions_comp_dist7,runs_comp_dist7,deletions_val_dist8,runs_val_dist8,deletions_comp_dist8,runs_comp_dist8,deletions_val_dist9,runs_val_dist9,deletions_comp_dist9,runs_comp_dist9,deletions_val_dist10,runs_val_dist10,deletions_comp_dist10,runs_comp_dist10,deletions_val_dist11,runs_val_dist11,deletions_comp_dist11,runs_comp_dist11,deletions_val_dist12,runs_val_dist12,deletions_comp_dist12,runs_comp_dist12,deletions_val_dist13,runs_val_dist13,deletions_comp_dist13,runs_comp_dist13,deletions_val_dist14,runs_val_dist14,deletions_comp_dist14,runs_comp_dist14,deletions_val_dist15,runs_val_dist15,deletions_comp_dist15,runs_comp_dist15,deletions_val_dist16,runs_val_dist16,deletions_comp_dist16,runs_comp_dist16,deletions_val_dist17,runs_val_dist17,deletions_comp_dist17,runs_comp_dist17,deletions_val_dist18,runs_val_dist18,deletions_comp_dist18,runs_comp_dist18,deletions_val_dist19,runs_val_dist19,deletions_comp_dist19,runs_comp_dist19,deletions_val_dist20,runs_val_dist20,deletions_comp_dist20,runs_comp_dist20,introsort,insertion_sort,merge_sort,timsort,heap_sort,quick_sort,selection_sort
778,diabetes(2),BloodPressure,merge_sort,1544,105,9779,181,199,0,0,0,0,0,0,1,1,1,1,4,2,2,2,7,3,3,3,9,4,3,3,10,5,4,4,13,6,5,4,16,7,6,5,19,8,7,5,22,9,7,5,23,10,7,5,24,11,7,5,25,12,8,6,29,13,8,6,30,14,9,7,34,15,9,7,35,16,10,8,40,17,11,9,45,18,12,10,49,19,1653,9978,1544,1940,1599,2069,19900
779,diabetes(2),SkinThickness,merge_sort,1544,85,8541,179,199,0,0,0,0,1,1,2,1,1,1,3,2,2,2,6,3,3,3,9,4,4,4,12,5,5,5,14,6,5,5,15,7,6,6,18,8,7,7,21,9,8,7,24,10,8,7,25,11,8,7,26,12,9,8,29,13,10,9,32,14,11,9,36,15,12,10,40,16,13,11,43,17,14,11,46,18,15,11,49,19,3085,8740,1544,1816,1160,3233,19900
780,diabetes(2),Insulin,merge_sort,1544,69,7056,184,194,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,1,8,4,2,1,9,5,3,2,12,6,3,2,13,7,4,3,16,8,5,3,19,9,6,3,22,10,6,3,23,11,7,4,27,12,7,4,28,13,8,5,32,14,8,5,33,15,9,6,37,16,10,6,41,17,11,6,45,18,12,6,49,19,6058,7255,1544,1706,811,6140,19900
781,diabetes(2),BMI,quick_sort,1369,96,9742,177,199,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,2,8,4,3,3,11,5,4,4,14,6,5,4,17,7,6,5,20,8,7,6,23,9,8,6,26,10,9,7,29,11,9,7,30,12,10,8,33,13,11,9,36,14,12,9,40,15,13,10,44,16,13,10,45,17,14,11,48,18,15,12,51,19,1473,9941,1544,1966,1635,1369,19900
782,diabetes(2),DiabetesPedigreeFunction,merge_sort,1544,98,9817,175,199,0,0,0,0,1,1,2,1,1,1,3,2,2,2,6,3,3,3,9,4,3,3,10,5,4,4,13,6,4,4,14,7,5,5,17,8,6,5,20,9,6,5,21,10,7,6,25,11,8,6,28,12,9,7,31,13,10,8,35,14,11,8,39,15,12,9,42,16,13,10,46,17,14,11,49,18,15,11,53,19,2203,10016,1544,1997,1630,2098,19900
783,diabetes(2),Age,introsort,1281,98,10550,182,199,0,0,0,0,1,1,2,1,2,2,4,2,2,2,5,3,3,3,7,4,4,4,9,5,5,5,11,6,6,5,14,7,7,6,17,8,8,7,19,9,8,7,20,10,9,8,23,11,9,8,24,12,9,8,25,13,9,8,26,14,10,9,30,15,11,9,34,16,11,9,35,17,12,10,39,18,13,11,43,19,1281,10749,1544,2002,1459,1670,19900
784,diabetes(2),Outcome,timsort,1318,43,4864,125,196,0,0,0,0,1,1,2,1,1,1,3,2,1,1,4,3,1,1,5,4,1,1,6,5,1,1,7,6,1,1,8,7,2,2,12,8,3,2,16,9,3,2,17,10,3,2,18,11,3,2,19,12,3,2,20,13,4,3,24,14,5,3,28,15,6,3,32,16,6,3,33,17,7,4,37,18,8,4,41,19,10790,5063,1544,1318,395,10972,19900
785,Ads_CTR_Optimisation,Ad 1,timsort,1110,26,1956,171,199,0,0,0,0,1,1,2,1,1,1,3,2,1,1,4,3,2,2,7,4,3,2,10,5,3,2,11,6,4,3,14,7,5,3,17,8,6,3,20,9,7,3,23,10,8,3,26,11,8,3,27,12,9,4,30,13,10,4,33,14,11,4,36,15,12,4,39,16,13,4,42,17,14,4,45,18,15,4,48,19,15220,2155,1544,1110,149,15402,19900
786,Ads_CTR_Optimisation,Ad 2,timsort,1145,27,2809,164,196,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,1,8,4,3,1,11,5,4,1,14,6,5,1,17,7,6,1,20,8,7,1,23,9,8,1,26,10,8,1,27,11,9,2,30,12,10,2,33,13,10,2,34,14,11,3,37,15,12,3,40,16,13,3,43,17,14,3,46,18,15,3,49,19,14240,3008,1544,1145,189,14422,19900
787,Ads_CTR_Optimisation,Ad 3,timsort,980,11,1245,178,190,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,17325,1444,1544,980,76,17482,19900
